"id","station_id","latitude","longitude","created_at","updated_at","deleted_at","error"
1,1,50.46254,4.86960,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
2,2,50.46424,4.86520,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
3,3,50.47536,4.84661,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
4,4,50.46060,4.84284,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
5,5,50.46675,4.84834,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
6,6,50.46387,4.86114,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
7,7,50.46687,4.88484,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
8,8,50.45507,4.87558,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
9,9,50.45786,4.86697,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
10,10,50.46452,4.83985,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
11,11,50.46786,4.87352,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
12,12,50.46155,4.87609,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
13,13,50.44822,4.85951,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
14,14,50.46274,4.83720,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
15,15,50.46448,4.84929,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
16,16,50.46446,4.85644,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
17,17,50.47069,4.85280,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
18,18,50.46697,4.86546,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
19,19,50.46204,4.86499,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
20,20,50.46364,4.87353,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
21,21,50.45189,4.86884,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
22,22,50.46735,4.86872,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
23,23,50.46740,4.85810,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
24,24,50.45617,4.86269,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
25,25,50.47001,4.86199,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
26,26,50.46204,4.85693,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
27,27,50.45602,4.87266,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
28,28,50.46603,4.87735,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
29,29,50.46830,4.86266,2023-01-19 12:26:48.000,2023-05-20 02:02:22.000,,0
30,30,49.44251,1.09827,2023-01-19 12:26:48.000,2023-05-20 02:05:03.000,,0
31,31,49.42582,1.08791,2023-01-19 12:26:48.000,2023-05-20 02:05:03.000,,0
32,32,49.44031,1.07549,2023-01-19 12:26:48.000,2023-05-20 02:05:03.000,,0
33,33,49.43370,1.09090,2023-01-19 12:26:48.000,2023-05-20 02:05:03.000,,0
34,34,49.44145,1.12009,2023-01-19 12:26:48.000,2023-05-20 02:05:03.000,,0
35,35,49.42577,1.07630,2023-01-19 12:26:48.000,2023-05-20 02:05:03.000,,0
36,36,49.42175,1.07971,2023-01-19 12:26:48.000,2023-05-20 02:05:03.000,,0
37,37,49.44431,1.09358,2023-01-19 12:26:48.000,2023-05-20 02:05:03.000,,0
38,38,49.44090,1.09396,2023-01-19 12:26:48.000,2023-05-20 02:05:03.000,,0
39,39,49.44829,1.09420,2023-01-19 12:26:48.000,2023-05-20 02:05:03.000,,0
